"shortlet_name","shortlet_url","shortlet_Address","shortlet_Price"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-house-2-oasis-park-apartment-muritala-eletu-way-lekki-pennisula-i-osapa-london-lekki-lagos-3GPYF","House 2, Oasis Park Apartment Muritala Eletu Way, Lekki Pennisula I Osapa London Lekki Lagos","85,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-house-17-oasis-park-apartment-muritala-eletu-way-lekki-pennisula-ii-osapa-london-lekki-lagos-7GQBW","House 17, Oasis Park Apartment, Muritala Eletu Way, Lekki Pennisula Ii Osapa London Lekki Lagos","85,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-alexander-terrace-50-gbanbala-street-ikate-ikate-lekki-lagos-9GQBY","Alexander Terrace 50, Gbanbala Street, Ikate Ikate Lekki Lagos","150,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-first-unity-estate-badore-badore-ajah-lagos-6FXQX","First Unity Estate , Badore Badore Ajah Lagos",""
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-mayfair-apartments-olakunle-bakare-close-sanusi-fafunwa-victoria-island-lagos-8GQFF","Mayfair Apartments, Olakunle Bakare Close Sanusi Fafunwa Victoria Island Lagos","140,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-kalpan-estate-kayode-kasumu-street-off-tom-ogboi-street-itedo-lekki-phase-1-lekki-lagos-9GQFU","Kalpan Estate, Kayode Kasumu Street Off Tom Ogboi Street, Itedo Lekki Phase 1 Lekki Lagos","75,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-no-10-bashorun-okunsanya-street-off-admiralty-way-admiralty-road-lekki-phase-1-lekki-lagos-3GQFL","No 10, Bashorun Okunsanya Street Off Admiralty Way, Admiralty Road Lekki Phase 1 Lekki Lagos","95,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-mayfair-apartments-olakunle-bakare-close-sanusi-fafunwa-victoria-island-lagos-8GQFE","Mayfair Apartments, Olakunle Bakare Close Sanusi Fafunwa Victoria Island Lagos","140,000/day"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-jose-maria-escriva-estate-lekki-phase-1-lekki-lagos-4GQFT","Jose Maria Escriva Estate Lekki Phase 1 Lekki Lagos","65,000/day"
"4 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-house-for-shortlet-plot-14b-silicon-valley-estate-ologolo-lekki-lagos-0GNFA","Plot 14b, Silicon Valley Estate Ologolo Lekki Lagos","105,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-no-2-ayinke-george-street-off-spa-road-ikate-lekki-lagos-2GQES","No 2, Ayinke George Street Off Spa Road Ikate Lekki Lagos","110,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-kaplan-estate-kayode-kasumu-street-off-tom-ogboi-street-itedo-lekki-phase-1-lekki-lagos-1GQFV","Kaplan Estate Kayode Kasumu Street Off Tom Ogboi Street, Itedo Lekki Phase 1 Lekki Lagos","80,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-providence-court-dideolu-estate-senrolu-street-ligali-ayorinde-victoria-island-lagos-4GQCC","Providence Court Dideolu Estate, Senrolu Street Ligali Ayorinde Victoria Island Lagos","110,000/day"
"5 BEDROOM HOUSE FOR SALE","https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-0JNNB","Ikeja Gra Ikeja Lagos",""
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-mayfair-apartment-olakunle-bakare-close-sanusi-fafunwa-victoria-island-lagos-0GQFE","Mayfair Apartment, Olakunle Bakare Close Sanusi Fafunwa Victoria Island Lagos","120,000/day"
